"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","sample",1,70964,"1.408532","0.002416","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","sample",1,65769,"1.519792","0.002133","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","sample",1,88939,"1.123561","0.001501","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","sample",1,1667609,"0.059866","0.000064","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","sample",1,76704,"1.302862","0.001593","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","sample",1,1315087,"0.037988","0.000058","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","sample",1,1002533,"0.049806","0.000087","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","sample",1,1555897,"0.064180","0.000060","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","sample",1,1090468,"0.091646","0.000090","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","sample",1,1883586,"0.053015","0.000053","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","sample",1,1926503,"0.051816","0.000062","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","sample",1,1187500,"0.084099","0.000084","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","sample",1,1827082,"0.054645","0.000095","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","sample",1,1083594,"0.046090","0.000067","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","sample",1,1384970,"0.072089","0.000088","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","sample",1,1415136,"0.070546","0.000078","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","sample",1,1066231,"0.093670","0.000100","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","sample",1,1586823,"0.062927","0.000077","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","ss",1,100,"0.908849","0.049213","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","ss",1,100,"0.963502","0.083247","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","ss",1,100,"0.870278","0.073282","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","ss",1,100,"0.911653","0.067188","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","ss",1,100,"0.323312","0.023408","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","ss",1,100,"0.344811","0.019223","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","ss",1,100,"0.355853","0.013189","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","ss",1,100,"0.288184","0.018874","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","ss",1,100,"0.345839","0.018883","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","ss",1,100,"0.418154","0.031722","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","ss",1,100,"0.377056","0.014357","ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","ss",1,100,"0.258221","0.017798","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","ss",1,100,"0.389645","0.037010","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","ss",1,100,"0.333452","0.037538","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","ss",1,100,"0.373430","0.040960","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","ss",1,100,"0.366048","0.034241","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","ss",1,100,"0.464662","0.106005","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","ss",1,100,"0.552795","0.139810","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","ss",1,100,"0.457370","0.111337","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","ss",1,100,"0.444567","0.115558","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","ss",1,100,"0.389210","0.020970","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","ss",1,100,"0.347436","0.039603","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","ss",1,100,"0.307452","0.021708","ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","ss",1,100,"0.316120","0.028534","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","ss",1,100,"0.592868","0.021204","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","ss",1,100,"1.512545","0.062839","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","ss",1,100,"1.639148","0.047956","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","ss",1,100,"1.255728","0.044645","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","ss",1,100,"0.367927","0.010376","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","ss",1,100,"1.413983","0.058143","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","ss",1,100,"0.313524","0.022714","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","ss",1,100,"0.322986","0.024786","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","ss",1,100,"0.391520","0.025750","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","ss",1,100,"0.507393","0.050978","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","ss",1,100,"0.368609","0.025209","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","ss",1,100,"0.362600","0.024873","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","ss",1,100,"0.462368","0.031047","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","ss",1,100,"0.442645","0.016820","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","ss",1,100,"0.298753","0.021134","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","ss",1,100,"0.351941","0.028701","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","ss",1,100,"0.358287","0.021358","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","ss",1,100,"0.395377","0.024338","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","ss",1,100,"0.318533","0.019319","ms/op"
